facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
"Hunts Point Library, NYPL",Library,NYPL,Operational,Yes,40.818678,-73.894134,"{'type': 'Point', 'coordinates': [-73.894134, 40.818678]}",5,24,43,8,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday	CLOSED
Monday	10:00 am - 6:00 pm 
Tuesday	10:00 am - 6:00 pm 
Wednesday	10:00 am - 6:00 pm 
Thursday	10:00 am - 6:00 pm 
Friday	10:00 am - 6:00 pm 
Saturday	10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/hunts-point'},
Woodlawn Playground,Park,NYC Parks,Operational,Yes,40.899930,-73.872300,"{'type': 'Point', 'coordinates': [-73.8723, 40.89993]}",5,30,40,27,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Clearview Cafe,Park,NYC Parks Concessionaire,Operational,"""Yes, in women's restroom only""",40.786638,-73.792331,"{'type': 'Point', 'coordinates': [-73.792331, 40.786638]}",3,67,20,22,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,5:00pm-9:00pm,,
Central Park Chess & Checkers House,Park,Central Park Conservancy,Operational,,40.769114,-73.974619,"{'type': 'Point', 'coordinates': [-73.974619, 40.769114]}",4,13,19,19,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,7:30am - dusk,,
"Stapleton Library, NYPL",Library,NYPL,Operational,Yes,40.626265,-74.077865,"{'type': 'Point', 'coordinates': [-74.077865, 40.626265]}",1,74,13,4,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/stapleton'},
Renaissance Playground,Park,NYC Parks,Operational,Yes,40.821680,-73.941700,"{'type': 'Point', 'coordinates': [-73.9417, 40.82168]}",4,20,36,18,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Macombs Dam Park Zone 1 Upper,Park,NYC Parks,Operational,Yes,40.828380,-73.929800,"{'type': 'Point', 'coordinates': [-73.9298, 40.82838]}",5,27,35,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Lefferts Library, QPL",Library,QPL,Operational,Yes,40.686916,-73.824831,"{'type': 'Point', 'coordinates': [-73.824831, 40.686916]}",3,64,46,62,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/lefferts'},"Yes, a key is needed to enter"
"Rugby Library, BPL",Library,BPL,Operational,No,40.648628,-73.930358,"{'type': 'Point', 'coordinates': [-73.930358, 40.648628]}",2,40,26,61,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/rugby'},
Father Macris Park,Park,NYC Parks,Operational,,40.616810,-74.163049,"{'type': 'Point', 'coordinates': [-74.163049, 40.61681]}",1,75,14,30,,,Year Round,"8am-4pm, Open later seasonally",,
100% Playground,Park,NYC Parks,Operational,Yes,40.646790,-73.899500,"{'type': 'Point', 'coordinates': [-73.8995, 40.64679]}",2,42,8,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Bushwick Inlet Park,Park,NYC Parks,Operational,Yes,40.721922,-73.960598,"{'type': 'Point', 'coordinates': [-73.960598, 40.721922]}",2,57,38,36,,,Year Round,"8am-4pm, Open later seasonally",,
Reservoir (Northwest),Park,NYC Parks,Operational,No,40.789440,-73.961900,"{'type': 'Point', 'coordinates': [-73.9619, 40.78944]}",4,13,19,19,Partially Accessible,,Year Round,,,
Real Good Playground,Park,NYC Parks,Operational,Yes,40.735520,-73.857200,"{'type': 'Point', 'coordinates': [-73.8572, 40.73552]}",3,70,28,40,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
St Mary's Playground West,Park,NYC Parks,Operational,Yes,40.812860,-73.913400,"{'type': 'Point', 'coordinates': [-73.9134, 40.81286]}",5,23,35,49,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Macombs Dam Park Zone 2 Lower,Park,NYC Parks,Operational,Yes,40.827500,-73.928400,"{'type': 'Point', 'coordinates': [-73.9284, 40.8275]}",5,27,42,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Bayview Playground,Park,NYC Parks,Operational,Yes,40.634950,-73.887200,"{'type': 'Point', 'coordinates': [-73.8872, 40.63495]}",2,42,8,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Baruch Playground,Park,NYC Parks,Operational,Yes,40.717220,-73.976900,"{'type': 'Point', 'coordinates': [-73.9769, 40.71722]}",4,4,50,70,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Evelina Antonetty Playground,Park,NYC Parks,Operational,Yes,40.817280,-73.928400,"{'type': 'Point', 'coordinates': [-73.9284, 40.81728]}",5,23,43,49,,,Year Round,"8am-4pm, Open later seasonally",,
Midland Beach Zone 4,Park,NYC Parks,Operational,,40.573606,-74.083955,"{'type': 'Point', 'coordinates': [-74.083955, 40.573606]}",1,76,14,31,,,Seasonal,"8am-4pm, Open later seasonally",,
Hudson River Park Pier 83,Park,Hudson River Park,Operational,,40.762739,-74.001471,"{'type': 'Point', 'coordinates': [-74.001471, 40.762739]}",4,6,10,12,Fully Accessible,,Year Round,9:30am - 9:30pm,,
Bathgate Playground,Park,NYC Parks,Operational,Yes,40.840510,-73.897800,"{'type': 'Point', 'coordinates': [-73.8978, 40.84051]}",5,25,43,34,,,Year Round,"8am-4pm, Open later seasonally",,
Hoffman Park,Park,NYC Parks,Operational,No,40.732980,-73.871500,"{'type': 'Point', 'coordinates': [-73.8715, 40.73298]}",3,68,5,66,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Hudson River Park Pier 51,Park,Hudson River Park,Operational,,40.737997,-74.010384,"{'type': 'Point', 'coordinates': [-74.010384, 40.737997]}",4,3,10,57,Fully Accessible,,Year Round,7:30am - 8pm,,
Clove Lakes Cafe,Park,NYC Parks Concessionaire,Operational,No,40.617665,-74.108137,"{'type': 'Point', 'coordinates': [-74.108137, 40.617665]}",1,74,13,4,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,11:30am-9:00pm,,
Bronx Shore,Park,NYC Parks,Operational,Yes,40.800550,-73.923900,"{'type': 'Point', 'coordinates': [-73.9239, 40.80055]}",4,16,35,7,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
173 St Playground,Park,NYC Parks,Operational,Yes,40.701860,-73.783500,"{'type': 'Point', 'coordinates': [-73.7835, 40.70186]}",3,61,6,41,,,Year Round,"8am-4pm, Open later seasonally",,
Arcilla Playground,Park,NYC Parks,Operational,Yes,40.827170,-73.914600,"{'type': 'Point', 'coordinates': [-73.9146, 40.82717]}",5,27,43,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
East Springfield Playground,Park,NYC Parks,Operational,Yes,40.698690,-73.739900,"{'type': 'Point', 'coordinates': [-73.7399, 40.69869]}",3,63,6,63,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Sunken Meadow,Park,NYC Parks,Operational,Yes,40.795550,-73.918900,"{'type': 'Point', 'coordinates': [-73.9189, 40.79555]}",4,16,35,7,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"St. George Library Center, NYPL",Library,NYPL,Operational,"""Yes, in single-stall all gender restroom only""",40.641808,-74.076680,"{'type': 'Point', 'coordinates': [-74.07668, 40.641808]}",1,74,13,4,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm  
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/st-george-library-center'},
"Flatbush Library, BPL",Library,BPL,Operational,Yes,40.651933,-73.958244,"{'type': 'Point', 'coordinates': [-73.958244, 40.651933]}",2,43,11,60,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/flatbush'},
Wolfe's Pond Park Zone 2,Park,NYC Parks,Operational,,40.516140,-74.189400,"{'type': 'Point', 'coordinates': [-74.1894, 40.51614]}",1,77,9,15,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Chatham Square Library, NYPL",Library,NYPL,Operational,Yes,40.713341,-73.996491,"{'type': 'Point', 'coordinates': [-73.996491, 40.713341]}",4,2,32,70,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 9:00 am - 7:00 pm 
Tuesday: 9:00 am - 7:00 pm 
Wednesday: 9:00 am - 7:00 pm 
Thursday: 9:00 am - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/chatham-square'},
Betsy Head Park,Park,NYC Parks,Operational,Yes,40.661940,-73.914400,"{'type': 'Point', 'coordinates': [-73.9144, 40.66194]}",2,46,17,55,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Playground 123,Park,NYC Parks,Operational,No,40.809980,-73.955900,"{'type': 'Point', 'coordinates': [-73.9559, 40.80998]}",4,17,23,37,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Jamaica Bay Library, BPL",Library,BPL,Operational,Yes,40.634468,-73.889245,"{'type': 'Point', 'coordinates': [-73.889245, 40.634468]}",2,42,8,5,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/jamaica-bay'},
101st St. Soccer Field,Park,NYC Parks,Operational,Yes,40.800550,-73.973300,"{'type': 'Point', 'coordinates': [-73.9733, 40.80055]}",4,15,19,20,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Mt Prospect Park Playground,Park,NYC Parks,Operational,Yes,40.672160,-73.965900,"{'type': 'Point', 'coordinates': [-73.9659, 40.67216]}",2,50,48,13,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Owl Hollow Fields,Park,NYC Parks,Operational,,40.560680,-74.196208,"{'type': 'Point', 'coordinates': [-74.196208, 40.56068]}",1,77,9,15,,,Year Round,"8am-4pm, Open later seasonally",,
"Fresh Meadows Library, QPL",Library,QPL,Operational,Yes,40.741591,-73.782283,"{'type': 'Point', 'coordinates': [-73.782283, 40.741591]}",3,65,16,25,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/fresh-meadows'},"Yes, a key is needed to enter"
Mill Pond Park,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.824450,-73.931500,"{'type': 'Point', 'coordinates': [-73.9315, 40.82445]}",5,27,35,50,,,Year Round,"8am-4pm, Open later seasonally",,
Annadale Playground,Park,NYC Parks,Operational,Yes,40.731100,-73.851700,"{'type': 'Point', 'coordinates': [-73.8517, 40.7311]}",3,70,28,40,Partially Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Lower Highland Playground,Park,NYC Parks,Operational,Yes,40.684040,-73.885800,"{'type': 'Point', 'coordinates': [-73.8858, 40.68404]}",2,47,37,45,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Harmony Playground,Park,NYC Parks,Operational,Yes,40.663410,-73.976700,"{'type': 'Point', 'coordinates': [-73.9767, 40.66341]}",2,50,27,13,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Columbus Library, NYPL",Library,NYPL,Operational,Yes,40.764943,-73.991222,"{'type': 'Point', 'coordinates': [-73.991222, 40.764943]}",4,10,10,12,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 11:00 am - 7:00 pm   
Thursday: 11:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/columbus'},
"Ulmer Park Library, BPL",Library,BPL,Operational,Yes,40.592693,-73.988629,"{'type': 'Point', 'coordinates': [-73.988629, 40.592693]}",2,35,45,21,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/ulmer-park'},
Greencroft Playground,Park,NYC Parks,Operational,Yes,40.552060,-74.136100,"{'type': 'Point', 'coordinates': [-74.1361, 40.55206]}",1,76,9,15,,,Year Round,"8am-4pm, Open later seasonally",,
"Francis Martin Library, NYPL",Library,NYPL,Operational,"""Yes, in single-stall all gender restroom only""",40.857430,-73.909318,"{'type': 'Point', 'coordinates': [-73.909318, 40.85743]}",5,29,29,6,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/francis-martin'},
Bushwick Playground,Park,NYC Parks,Operational,Yes,40.701710,-73.939500,"{'type': 'Point', 'coordinates': [-73.9395, 40.70171]}",2,56,30,36,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Richman (Echo) Park,Park,NYC Parks,Operational,Yes,40.849580,-73.902100,"{'type': 'Point', 'coordinates': [-73.9021, 40.84958]}",5,29,22,6,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
McKinley Playground,Park,NYC Parks,Operational,Yes,40.724270,-73.985600,"{'type': 'Point', 'coordinates': [-73.9856, 40.72427]}",4,5,50,70,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Edenwald Library, NYPL",Library,NYPL,Operational,No,40.888903,-73.840839,"{'type': 'Point', 'coordinates': [-73.840839, 40.888903]}",5,30,2,29,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/edenwald'},
Stables Area,Park,NYC Parks,Operational,Yes,40.900930,-73.892700,"{'type': 'Point', 'coordinates': [-73.8927, 40.90093]}",5,33,40,27,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"St. Albans Library, QPL",Library,QPL,Operational,Yes,40.692508,-73.760074,"{'type': 'Point', 'coordinates': [-73.760074, 40.692508]}",3,71,6,41,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/st.albans'},"Yes, a key is needed to enter"
Matthews Muliner Playground,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.846940,-73.861500,"{'type': 'Point', 'coordinates': [-73.8615, 40.84694]}",5,32,12,59,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Arverne East Nature Preserve,Park,NYC Parks,Operational,Yes,40.592370,-73.775200,"{'type': 'Point', 'coordinates': [-73.7752, 40.59237]}",3,59,47,51,,,Year Round,"8am-4pm, Open later seasonally",,
Fermi Playground,Park,NYC Parks,Operational,Yes,40.700310,-73.928500,"{'type': 'Point', 'coordinates': [-73.9285, 40.70031]}",2,53,30,42,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Paerdegat Basin Marina 1,Park,NYC Parks Concessionaire,Operational,No,40.624409,-73.903769,"{'type': 'Point', 'coordinates': [-73.903769, 40.624409]}",2,38,8,5,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,9:00am-5:00pm,,
"Castle Hill Library, NYPL",Library,NYPL,Operational,No,40.826638,-73.850172,"{'type': 'Point', 'coordinates': [-73.850172, 40.826638]}",5,26,31,58,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/castle-hill'},
Sol Bloom Playground,Park,NYC Parks,Operational,Yes,40.789850,-73.968700,"{'type': 'Point', 'coordinates': [-73.9687, 40.78985]}",4,15,19,20,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Chelsea Park,Park,NYC Parks,Operational,Yes,40.749860,-74.000800,"{'type': 'Point', 'coordinates': [-74.0008, 40.74986]}",4,6,10,12,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
McCarren Park Zone 3,Park,NYC Parks,Operational,No,40.722030,-73.951800,"{'type': 'Point', 'coordinates': [-73.9518, 40.72203]}",2,57,38,36,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,7:30am-11:00pm,,
Jaime Campiz Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.713440,-73.954500,"{'type': 'Point', 'coordinates': [-73.9545, 40.71344]}",2,56,30,36,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Little Bay Park Zone 2,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.790450,-73.782000,"{'type': 'Point', 'coordinates': [-73.782, 40.79045]}",3,67,20,22,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Mott Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.831270,-73.914800,"{'type': 'Point', 'coordinates': [-73.9148, 40.83127]}",5,27,42,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Columbus Park,Park,NYC Parks,Operational,No,40.714860,-74.000100,"{'type': 'Point', 'coordinates': [-74.0001, 40.71486]}",4,2,32,70,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Caserta Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.837490,-73.853800,"{'type': 'Point', 'coordinates': [-73.8538, 40.83749]}",5,26,31,58,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Bartlett Playground,Park,NYC Parks,Operational,Yes,40.700710,-73.946000,"{'type': 'Point', 'coordinates': [-73.946, 40.70071]}",2,56,38,36,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Hunter Island Picnic Area,Park,NYC Parks,Operational,Yes,40.869850,-73.790400,"{'type': 'Point', 'coordinates': [-73.7904, 40.86985]}",5,28,12,44,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
John Allen Payne Playground,Park,NYC Parks,Operational,Yes,40.639780,-74.023600,"{'type': 'Point', 'coordinates': [-74.0236, 40.63978]}",2,45,7,9,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Rockaway Beach 08a,Park,NYC Parks,Operational,Yes,40.577930,-73.835200,"{'type': 'Point', 'coordinates': [-73.8352, 40.57793]}",3,58,41,51,Partially Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
